close,log_ret,volatility,rsi_norm,macd_norm,vol_change
7117.20751953125,0.033849812461733006,0.5089885256996398,-0.09917167357365585,0.007009288142201193,0.020031757863762323
7429.724609375,0.04297334717626114,0.5268053060795581,0.05172581987027414,0.01087499565398009,0.26874960306272655
7550.90087890625,0.016178084496425684,0.5256321183957621,0.31848102704710757,0.015066078981372116,-0.2278701239643368
7569.93603515625,0.0025177397803475064,0.5223643682458334,0.328378054886507,0.01846927009536605,-0.050174278984407295
7679.8671875,0.014417636083330129,0.4684416156529124,0.3277328378606265,0.02179671607169458,0.0038966793659227505
7795.60107421875,0.01495735604802822,0.46639932040419646,0.4416415077478865,0.025185038044107495,0.08938164722896502
7807.05859375,0.0014686626299017075,0.4617831064333159,0.44634257203952726,0.02788249052633959,-0.08582568868176566
8801.0380859375,0.11984140644428902,0.6188270522241881,0.730638589961686,0.03536137291558218,0.5955026734376396
8658.5537109375,-0.01632197818592355,0.5687514671773659,0.5878614133244975,0.042684670084478654,0.1064747320762045
8864.7666015625,0.02353691044657035,0.5682305774867994,0.6297843395004485,0.04823113569601626,-0.4184218173575651
8988.5966796875,0.013872127279034094,0.5681074480484267,0.6247533553067893,0.05317646307995205,-0.09350920537859864
8897.46875,-0.010189912204170495,0.5629805966603408,0.6114412963291517,0.05673200332146537,0.16007736213495605
8912.654296875,0.0017052718293899742,0.5623656657854755,0.8118915617112268,0.05848079555818931,-0.02980139167837592
9003.0703125,0.010093566989645255,0.5393427014889083,0.8196024252720329,0.059466212208274444,-0.05786272125292058
9268.76171875,0.029084126239824877,0.5039497702139984,0.8215868373087548,0.060586905952488314,0.13473438257761217
9951.5185546875,0.07107536685466279,0.5397263839518797,0.8436862799327909,0.06332178133615406,0.21333853800969038
9842.666015625,-0.010998547172291293,0.5481558702125144,0.7699026174349095,0.06786940410759369,-0.1657012889833709
9593.896484375,-0.025599497514193534,0.5606576262262124,0.6312194417027888,0.06985972345504879,-0.1061451431405267
8756.4306640625,-0.09133874992634657,0.6452695688282621,0.2736587098228365,0.06823727611838866,0.30741132941753335
8601.7958984375,-0.017817356616017375,0.652682278354452,0.2029253134889673,0.06061549061860523,-0.1031327609664281
8804.4775390625,0.0232893964825246,0.6488796048369231,0.23952873652589474,0.05360862080909306,-0.30408995156552265
